  PID  PPID COMMAND
  285     1 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers com.apple.driverkit.AppleUserUSBHostHIDDevice0 0x1000005db
  286     1 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers com.apple.driverkit.AppleUserUSBHostHIDDevice0 0x1000005da
  290     1 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers com.apple.driverkit.AppleUserUSBHostHIDDevice0 0x1000005e0
  292     1 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers com.apple.driverkit.AppleUserUSBHostHIDDevice0 0x100000623
  294     1 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers com.apple.driverkit.AppleUserUSBHostHIDDevice0 0x100000636
  295     1 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
  296     1 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers com.apple.driverkit.AppleUserHIDEventDriver.dfrv2 0x10000067c
  298     1 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers com.apple.driverkit.AppleUserHIDEventDriver 0x100000689
  301     1 /usr/sbin/distnoted agent
  302     1 /usr/libexec/biometrickitd --launchd
  305     1 /usr/libexec/smd
  307     1 /usr/libexec/thermald
  308     1 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Versions/A/XPCServices/com.apple.MobileSoftwareUpdate.CleanupPreparePathService.xpc/Contents/MacOS/com.apple.MobileSoftwareUpdate.CleanupPreparePathService
  309     1 /usr/libexec/hidd
  311     1 /usr/sbin/distnoted agent
  312     1 /usr/libexec/secinitd
  315     1 /usr/libexec/xpcroleaccountd -launchd
  317     1 /usr/libexec/biokitaggdd
  319     1 /usr/libexec/wifianalyticsd
  320     1 /usr/libexec/TouchBarServer
  322     1 /usr/libexec/nfcd
  323     1 /usr/libexec/colorsync.displayservices
  324     1 /usr/libexec/colorsyncd
  325     1 /System/Library/CoreServices/appleeventsd --server
  328     1 /usr/libexec/sysmond
  330     1 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
  331     1 /usr/libexec/bootinstalld
  335     1 /usr/libexec/logd_helper
  337    62 /usr/sbin/systemstats --logger-helper /private/var/db/systemstats
  339     1 /System/Library/PrivateFrameworks/AccountPolicy.framework/XPCServices/com.apple.AccountPolicyHelper.xpc/Contents/MacOS/com.apple.AccountPolicyHelper
  340     1 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/XPCServices/com.apple.cmio.registerassistantservice.xpc/Contents/MacOS/com.apple.cmio.registerassistantservice
  341     1 /System/Library/PrivateFrameworks/CoreSymbolication.framework/coresymbolicationd
  344     1 /usr/sbin/distnoted agent
  346     1 /System/Library/Frameworks/GSS.framework/Helpers/GSSCred
  353     1 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
  356     1 /System/Library/PrivateFrameworks/CoreADI.framework/adid
  359     1 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  360     1 /usr/sbin/distnoted agent
  361     1 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  362     1 /usr/sbin/cfprefsd agent
  365     1 /usr/libexec/securityd_service
  366     1 /usr/libexec/UserEventAgent (Aqua)
  368     1 /System/Library/PrivateFrameworks/CloudServices.framework/Helpers/com.apple.sbd
  369     1 /usr/libexec/knowledge-agent
  371     1 /usr/libexec/lsd
  372     1 /usr/libexec/secd
  373     1 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter -L
  375     1 /System/Library/CoreServices/APFSUserAgent
  377     1 /System/Library/CoreServices/backgroundtaskmanagementagent
  378     1 /usr/libexec/networkserviceproxy
  379     1 /usr/libexec/nsurlsessiond
  380     1 /System/Library/CoreServices/sharedfilelistd
  381     1 /usr/libexec/rapportd
  382     1 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/ContextStoreAgent
  383     1 /System/Library/CoreServices/lockoutagent
  384     1 /System/Library/CoreServices/ControlStrip.app/Contents/MacOS/ControlStrip
  385     1 /usr/libexec/trustd --agent
  386     1 /usr/sbin/usernoted
  387     1 /usr/libexec/routined LAUNCHED_BY_LAUNCHD
  388     1 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/TrustedPeersHelper.xpc/Contents/MacOS/TrustedPeersHelper
  389     1 /usr/libexec/secinitd
  390     1 /usr/libexec/dmd
  391     1 /System/Library/PrivateFrameworks/ScreenTimeCore.framework/Versions/A/ScreenTimeAgent
  392     1 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
  393     1 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  394     1 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
  395     1 /System/Library/PrivateFrameworks/TCC.framework/Resources/tccd
  396     1 /usr/libexec/containermanagerd --runmode=agent --bundle-container-mode=global --bundle-container-owner=_appinstalld --system-container-mode=none
